Technology Combination,Job Role,Vacancies,Fresher Package,Experienced Package,Top Companies,Popularity Score
"HTML5 + CSS3 + JavaScript + Angular JS", "Frontend Developer", 5500, "4-7 LPA", "7-15 LPA", "HCL, TCS, Capgemini", 8
"React.js + Node.js + MongoDB", "MERN Stack Developer", 2500, "4-8 LPA", "8-16 LPA", "Flipkart, Swiggy, Zomato, PayTM, Ola", 9
"React.js + Node.js + Express.js + MongoDB", "MERN Stack Developer", 2300, "4-8 LPA", "8-16 LPA", "Flipkart, Swiggy, Zomato, PayTM", 9
"Angular JS + Node.js + MongoDB", "MEAN Stack Developer", 1900, "4-8 LPA", "7-15 LPA", "Wipro, Capgemini, LTIMindtree", 8
"Java + MySQL", "Java Developer", 8500, "3.5-7 LPA", "6-14 LPA", "TCS, Infosys, HCL", 9
"Java + Spring Boot", "Java Backend Developer", 7200, "4-8 LPA", "8-18 LPA", "TCS, IBM, Infosys", 9
"Python + Django", "Python Developer", 2700, "4-7 LPA", "7-15 LPA", "Amazon, Flipkart, Google, Capgemini", 8
"Python + Flask", "Python Developer", 1200, "4-7 LPA", "7-14 LPA", "Startups, Infosys", 6
"Node.js + Express.js + MongoDB", "Node.js Developer", 3800, "4-7 LPA", "7-13 LPA", "Flipkart, Swiggy, Ola", 9
"MySQL + PHP", "PHP Developer", 3200, "2.7-4.5 LPA", "5-10 LPA", "Wipro, Capgemini, Infosys", 7
"Oracle + Java Core J2SE", "Java Developer", 3500, "3.5-7 LPA", "6-14 LPA", "TCS, Infosys, Oracle", 8
"Python + R + SQL", "Data Scientist", 1200, "4-8 LPA", "8-18 LPA", "Amazon, Google, IBM, Accenture", 7
"Python + Pandas + NumPy + SQL", "Data Scientist", 900, "4-8 LPA", "8-18 LPA", "Google, Amazon, startups", 6
"Python + TensorFlow + Keras", "Machine Learning Engineer", 800, "5-9 LPA", "9-20 LPA", "Google, Microsoft, startups", 6
"Python + Go + Docker + Kubernetes", "DevOps Engineer", 1100, "4-8 LPA", "8-18 LPA", "Infosys, TCS, IBM, Capgemini", 7
"Java + Jenkins + AWS", "DevOps Engineer", 1300, "4-8 LPA", "8-18 LPA", "TCS, IBM, Wipro", 7
"JavaScript Advance", "Frontend Developer", 8800, "3-6 LPA", "7-14 LPA", "Infosys, Cognizant, IBM", 9
"ES6", "Frontend Developer", 8900, "3-6 LPA", "7-14 LPA", "Infosys, Cognizant, IBM", 9
"jQuery", "Frontend Developer", 3000, "3-6 LPA", "6-11 LPA", "Infosys, Capgemini", 6
"DSA", "Software Engineer", 9500, "4-7 LPA", "7-16 LPA", "Amazon, Google, TCS", 10
"PHP Advance", "PHP Developer", 1500, "2.7-4.5 LPA", "5-10 LPA", "Wipro, Capgemini, startups", 5
"Java Advance J2EE, JDBC, Servlet, JSP, MVC", "Java Developer", 4200, "4-7 LPA", "7-15 LPA", "TCS, HCL, Capgemini", 9
"Spring Core", "Spring Developer", 3400, "4-8 LPA", "7-14 LPA", "Infosys, TCS, Capgemini", 8
"Spring JDBC + ORM", "Java Backend Developer", 3200, "4-7.5 LPA", "7-15 LPA", "TCS, Infosys, Capgemini", 8
"Spring Security", "Security Engineer", 1500, "4-7 LPA", "7-15 LPA", "Infosys, Wipro, IBM", 7
"Hibernate ORM", "Java ORM Developer", 2100, "4-7 LPA", "7-14 LPA", "TCS, Infosys, Capgemini", 7
"Microservices", "Backend Developer", 4000, "4-8 LPA", "7-16 LPA", "Infosys, Cognizant, startups", 9
"REST API", "Backend Developer", 4300, "4-8 LPA", "7-15 LPA", "Infosys, Cognizant, startups", 9
"Maven", "Java Developer", 1200, "4-7 LPA", "7-14 LPA", "TCS, Infosys, Capgemini", 6
"Front End Presentation", "UI Developer", 9000, "3-6 LPA", "6-13 LPA", "Infosys, TCS, Flipkart", 9
"Code Ignitor", "PHP Developer", 400, "2.7-4 LPA", "5-10 LPA", "Startup agencies", 4
"Wordpress", "Web Developer", 3500, "2.5-5 LPA", "5-10 LPA", "Web agencies, Freelancers", 7
"C Programming", "Systems Programmer", 900, "2.7-4 LPA", "5-8 LPA", "Infosys, Tech Mahindra", 6
"Java Core J2SE + SQL", "Java Developer", 2500, "3.5-7 LPA", "6-14 LPA", "TCS, Infosys, Oracle", 8
